Id,Source,Translation,Comment
JWK-FM-Gameplay-Construction-96e13b49-Disassembly,Disassembly,,
JWK-FM-Gameplay-Construction-Title,Construction,,
JWK-FM-Gameplay-Construction-a3625008-Placeableobjects,"Placeable objects are smaller props that are paid for in money by the placing person. If an item can be owned, it will be automatically linked to the person placing it (for example: item storages).",,
JWK-FM-Gameplay-Construction-c3cb9eb4-Variouslocations,"Various locations allow to construct different types of objects. In general, construction is possible at:",,
JWK-FM-Gameplay-Construction-c628a961-Constructionscan,"Constructions can be removed by triggering an action while holding an entrenching tool in hand. Be careful with it, as you will not be reimbursed with any costs of the construction.",,
JWK-FM-Gameplay-Construction-ca2af7ad-Placement,Placement,,
JWK-FM-Gameplay-Construction-daa6c771-Buildablestructu,"Buildable structures cost resources, which are taken from the location storage. Structures belong to the resistance in general and are not linked to the specific person constructing them.",,
JWK-FM-Gameplay-Fasttravel-0506f8fa-Clickonyourselec,"Click on your selected fast travel destination to plan a route. If the trip can be performed, this will create a marker at the cursor location. Click on the marker to confirm and perform the travel.",,
JWK-FM-Gameplay-Fasttravel-184aa371-Bydefaultfasttra,By default fast travel is only possible on main roads. If you want fast travel to be more accessible - or you're playing on a terrain with a very undeveloped road network - you can enable fast travel over dirt roads in the settings.,,
JWK-FM-Gameplay-Fasttravel-1c33c293-Settings,Settings,,
JWK-FM-Gameplay-Fasttravel-2c5dc745-Fasttravelmaybed,Fast travel may be disabled alltogether.,,
JWK-FM-Gameplay-Fasttravel-312f8c0c-Maptool,Map tool,,
JWK-FM-Gameplay-Fasttravel-59046333-Youcannotfasttra,"You cannot fast travel while undercover. If you or any passenger appears as a combatant, you can only travel over resistance controlled territory.",,
JWK-FM-Gameplay-Fasttravel-Title,Fast travel,,
JWK-FM-Gameplay-Fasttravel-b960cb04-Fasttravelwillco,"Fast travel will consume fuel using its own rate, separate from the base game fuel consumption rate. This factor can be also adjusted in settings.",,
JWK-FM-Gameplay-Fasttravel-c155acf8-Fasttravelallows,"Fast travel allows you to skip driving your car over long distances and instantly appear at the destination. To use fast travel, you have to be in the driver seat of a functioning car, have enough fuel and be located on a road. Your travel destination must be also physically accessible by road.",,
JWK-FM-Gameplay-Fasttravel-e71344ab-Tousefasttravelo,"To use fast travel, open your map and select the fast travel tool (car icon) from the toolbox.",,
JWK-FM-Gameplay-Illegalzones-4c63a8ca-Therearemanyarea,"There are many areas that are forbidden to enter for civilians. Any players spotted in these areas will be instantly shot and hunted. Depending on your settings, these areas will be marked in red on your map and/or you will see a status icon on your HUD upon entering them. There is no need to frantically check your map to avoid entering them by accident - they are usually fenced and accompany military bases, outposts, factories, and other military or strategic points of interest.",,
JWK-FM-Gameplay-Illegalzones-Title,Illegal zones,,
JWK-FM-Gameplay-Illegalzones-b557e539-Militarypersonne,Military personnel is allowed to be present within illegal zones. You can <b>disguise</b> yourself in enemy uniform to walk around freely.,,
JWK-FM-Gameplay-Money-26395fd0-Ifyouareextremel,"If you are extremely desperate, you can try extorting defenceless civilians. This should be your last resort, as it turns them hostile against you and makes you lose their hard-earned support.",,
JWK-FM-Gameplay-Money-7c9038e6-Therearemultiple,"There are multiple ways to make money, but collecting enemy dogtags and turning them in to the resistance is the most rewarding one. You can also sell equipment looted from the enemy.",,
JWK-FM-Gameplay-Money-8f5a541d-Youcantransfermo,"You can transfer money to another freedom fighter by accessing the radial menu and selecting the <b>Transfer money</b> option. To do so, you need to be in the immediate vicinity of the recipient. After money is sent, the transferee will receive a notification mentioning the sender name and amount of money received.",,
JWK-FM-Gameplay-Money-Title,Money,,
JWK-FM-Gameplay-Money-a30002b3-Moneymakesthewor,"<b>Money</b> makes the world go around and it is no different in <b>Freedom Fighters</b>. You will need it to buy gear, supplies, hire subordinates and expand your bases. Amount of possessed money can be checked at any moment by opening the inventory menu.",,
JWK-FM-Gameplay-Money-cafbe4c5-Earningmethods,Earning methods,,
JWK-FM-Gameplay-Money-d5ae6699-Yourmoneyisvirtu,"Your money is virtual, which means there is no in-game wallet item and your balance is tied to your player profile. What happens with your balance in case of your character death depends on your difficulty settings - ranging from no penalty, through fixed fee, to a complete loss.",,
JWK-FM-Gameplay-Money-dc3800b7-Youcanselectthec,You can select the currency used in your run during game setup. Selected currency format has no effect on the gameplay and is purely a cosmetic/role-playing change.,,
JWK-FM-Gameplay-Money-f76891d6-Transferring,Transferring,,
JWK-FM-Gameplay-Ownership-006d84b1-Toacquireownersh,"To acquire ownership over an item, it must have no prior owner. In that case, you will see a <b>Claim ownership</b> action on the item. Just use it to claim the item as your own. If you are placing objects and the object can be owned, you will automatically claim ownership over it.",,
JWK-FM-Gameplay-Ownership-018bb400-Variousitemsinth,"Various items in the world can be <b>owned by freedom fighters</b> - such as containers placed in operating bases and vehicles found in the world. The <b>owner</b> can lock the item, restricting other players' access. Both lock state and ownership is persisted. This is useful if you want to keep your personal belongings secure, or make sure no reckless driver hijacks your valuable vehicle at a resistance base.",,
JWK-FM-Gameplay-Ownership-31337544-Somevehiclesdoor,"Some vehicles, doors or containers cannot be opened even with a lockpick.",,
JWK-FM-Gameplay-Ownership-4413969f-Management,Management,,
JWK-FM-Gameplay-Ownership-6b5fcdfe-Manydoorscanbeop,"Many doors can be opened if you know the right people - or... have the right tools. If you're not much of a social person, you can purchase the latter from resistance members.",,
JWK-FM-Gameplay-Ownership-773b1dfe-Sometimesyoumaya,"Sometimes you may also want to pass the ownership to another player, for example if you are building containers for your squad. In that case you can use <b>Abandon ownership</b> action to release the item. Afterwards, it can be claimed by any other player. Abandoning the item will also automatically unlock it.",,
JWK-FM-Gameplay-Ownership-Title,Ownership,,
JWK-FM-Gameplay-Ownership-c682b645-Tobeginthelockpi,"To begin, the lockpick must be equipped in hand. Be careful, as lockpicks are illegal to carry, and using them will make you wanted or break your disguise. The lockpicking action takes a few seconds to complete, and you may not succeed on your first try. A lockpick may also break during the process, so it's best to carry a few of them.",,
JWK-FM-Gameplay-Radialmenu-25a25738-Basicfeaturesava,"<b>Basic features available via the radial menu include:</b><br/>- Accessing <b>journal</b>, containing details about your current tasks<br/>- Accessing <b>campaign progress</b> menu, which lists your high-level objectives required to win the uprising<br/>- <b>Transferring money</b> to nearby <b>freedom fighters</b><br/>- Accessing placing and construction menus<br/>- Accessing <b>placing</b> and <b>construction</b> menus",,
JWK-FM-Gameplay-Radialmenu-Title,Radial menu,,
JWK-FM-Gameplay-Radialmenu-e30ccca2-Opentheradialmen,"Open the radial menu by pressing <b>J</b> to access various features specific to *Freedom Fighters*. This menu is context-aware, which means the options available within the menu may depend on your character state, objects in your vicinity, equipped tools and other. When additional options are available, you will usually see an on-screen prompt in the lower part of your screen.",,
JWK-FM-Gameplay-Radio-13458bcc-Youcanuseanyhand,"You can use any handheld radio to communicate with the resistance. To do so, you must equip the radio in hand and interact with it using the <b>radial menu</b>. You will see a call to action when the interaction is available. Remember to turn the radio on and tune it to required frequency. You also need to be within range of a controlled radio site.",,
JWK-FM-Gameplay-Radio-Title,Radio,,
JWK-FM-Gameplay-Respawn-0b386139-Towns,Towns,,
JWK-FM-Gameplay-Respawn-0f591aee-Afterjoiningthef,"After joining the fight for the first time, or after an unfortunate death, the player will be faced with the <b>deployment map tool</b>. In this view, they can select the respawn location they wish to use. If there is no location available, the player has to wait until remaining players reenable respawn availability. If there are no remaining players alive, the campaign will fail.",,
JWK-FM-Gameplay-Respawn-1ae64749-Tospawninatownth,"To spawn in a town, there must be at least one <b>supporter</b> in the local population. By spawning, the player takes control of a civilian character that is taken away from the supporters amount. Town population is not affected by this.",,
JWK-FM-Gameplay-Respawn-4b5620b6-Spawningatoperat,"Spawning at <b>operating bases</b> consumes a certain amount of resources, depending on the <b>operating base</b> type. Respawn cost, along with available resources at the base, is always shown in the <b>deployment map tool</b>.",,
JWK-FM-Gameplay-Respawn-8ddf3d73-Operatingbases,Operating bases,,
JWK-FM-Gameplay-Respawn-906dc6ea-Spawnedcharacter,Spawned character will have a mix of resistance clothes and no equipment at all.,,
JWK-FM-Gameplay-Respawn-9d2e62ef-Spawnedcharacter,"Spawned character will have civilian clothes, a basic handgun, a map and some bag.",,
JWK-FM-Gameplay-Respawn-Title,Respawn,,
JWK-FM-Gameplay-Resting-08bd2eb2-Healing,Healing,,
JWK-FM-Gameplay-Resting-0a142ed0-Youcanusemostbed,"You can use most beds found in the world to <b>rest</b>. Resting advances time, which is useful if you want to skip night-time or, to the contrary, you want to carry out an assault in the dark.",,
JWK-FM-Gameplay-Resting-1d960dec-AdditionallyChar,"Additionally:<br/>- Character cannot be <b>wanted</b><br/>- If character is in <b>combat attire</b>, there cannot be enemies nearby<br/>- Bed cannot be in <b>illegal area</b>",,
JWK-FM-Gameplay-Resting-28bffe0d-Torestyouhavetoi,"To rest, you have to interact with a bed and select resting duration in the menu. In multiplayer, all players spawned in-world need to get near beds and confirm their readiness to rest. It is not possible to change planned rest duration while players are waiting. To do so, all players must cancel their readiness (or exit resting menu), which will clear currently planned rest.",,
JWK-FM-Gameplay-Resting-540d93e8-Dependingonyourd,"Depending on your difficulty settings, resting may heal player characters. Damage is healed in full, independently of the rest duration.",,
JWK-FM-Gameplay-Resting-55b14b8e-Onceallrequiredp,"Once all required players are ready, a timelapse will occur, fast-forwarding by the selected duration.",,
JWK-FM-Gameplay-Resting-688f7a52-Requirements,Requirements,,
JWK-FM-Gameplay-Resting-83c2e8a8-Eachplayerneedst,Each player needs to have a <b>wristwatch</b> in order to wake up at the planned time.,,
JWK-FM-Gameplay-Resting-Title,Resting,,
JWK-FM-Gameplay-Title,Gameplay,,
JWK-FM-Gameplay-Undercover-1c1d09e1-Placingexplosive,Placing explosives or throwing away military gear on the ground will blow your cover.,,
JWK-FM-Gameplay-Undercover-296dcf24-Usingvehicleswit,Using vehicles without an explicit permission is not allowed. Interacting with parked enemy vehicles will instantly give you away.,,
JWK-FM-Gameplay-Undercover-560c21f4-Breakingthecover,Breaking the cover,,
JWK-FM-Gameplay-Undercover-5a2bd755-Havingbloodiedun,Having bloodied uniform will make you suspicious and won't allow to enter disguised state.,,
JWK-FM-Gameplay-Undercover-87d9fe0f-Manyactivitieswi,Many activities will make you suspicious and break your cover.,,
JWK-FM-Gameplay-Undercover-89a57bb0-Dependingonyourd,"Depending on your difficulty settings, you will see a <b>status icon</b> when your character is undercover.",,
JWK-FM-Gameplay-Undercover-9f9768ef-Likewisearandoms,"Likewise, a random soldier is not just allowed to take supplies as they please. Interacting with supply storages will make you wanted.",,
JWK-FM-Gameplay-Undercover-Title,Undercover,,
JWK-FM-Gameplay-Undercover-ad707e76-Bywearingcomplet,"By wearing complete enemy uniform your character can go <b>undercover</b>. In this state, you can enter <b>illegal areas</b>, openly carry weapons (if the weapon belongs to the enemy faction), and drive enemy vehicles without attracting attention. The cover can be blown if you act suspiciously or open fire.",,
JWK-FM-Gameplay-Undercover-ea4418c5-Keepinmindthatbe,Keep in mind that being in disguise will trick other resistance members as well. You will be shot at by friendlies if you are seen in disguise.,,
JWK-FM-General-Difficultysettings-1c48f8f3-Presets,Presets,,
JWK-FM-General-Difficultysettings-2243e7c5-Ifyouareanadmini,"If you are an administrator, you can access the difficulty settings interface during playthrough by accessing the FF admin menu (through the base game's pause menu).",,
JWK-FM-General-Difficultysettings-47058037-Someoptionscanno,"Some options cannot be changed after the game has been started, so attempting to select a preset at runtime will always result in the preset switching to <b>Custom</b>. That's because FF will apply all possible settings from your preset of choice, while leaving unchangeable ones at their original values, resulting in a custom set.",,
JWK-FM-General-Difficultysettings-4bf25a49-Whenstartinganew,"When starting a new game, you can modify various settings to adjust the difficulty and mechanics to your play style. Although these are collectively called difficulty settings, some of the choices are rather a matter of preference. Almost all of the settings can be changed at any point later during the playthrough.",,
JWK-FM-General-Difficultysettings-9d638641-Bydefaultregular,"By default, regular players can access the difficulty settings interface in a read-only mode to inspect the settings selected, also via the pause menu. This can be turned off in the miscellaneous section of the settings.",,
JWK-FM-General-Difficultysettings-Title,Difficulty settings,,
JWK-FM-General-Difficultysettings-d1b0e7f9-Youcanquicklycha,"You can quickly change all settings by selecting one of the predefined presets. Selecting a preset does not prevent you from adjusting the settings further - if you change any of the options, the preset selector will automatically switch to <b>Custom</b>, retaining all other settings from the preset. This way you can use any of the presets as a starting point.",,
JWK-FM-General-Difficultysettings-eae24d1e-Ifthisisyourfirs,"If this is your first playthrough, we recommend using <b>Normal</b> preset to experience a balanced gameplay the way it was envisioned.",,
JWK-FM-General-Gamemaster-08b1c362-Youcanediteachpl,You can edit each player's money balance and heat level by accessing their character attributes via the GM interface.,,
JWK-FM-General-Gamemaster-5e41abf4-Spawningunitsorv,"Spawning units or vehicles from factions that are not used by FF (i.e., not assigned to any role in the current campaign) is not supported and may lead to unexpected bugs. Due to certain limitations in the base game, the ability to edit factions and/or issue them custom tasks via the GM is disabled when playing FF.",,
JWK-FM-General-Gamemaster-Title,Game master,,
JWK-FM-General-Gamemaster-a134dceb-UsingtheGMistypi,Using the GM is typically useful for removing stuck AI characters or clearing road jams. It is safe to remove units spawned by FF.,,
JWK-FM-General-Gamemaster-e1ae8d1f-FreedomFightersi,"Freedom Fighters is not specifically designed to be played like a Game Master session, but using the GM is generally safe. Any units or vehicles spawned in the world should not interfere with or break FF, although they may be ignored by some FF functionalities.",,
JWK-FM-General-NewGame-12f43a92-Factions,Factions,,
JWK-FM-General-NewGame-1ea712a9-Duetomanyadditio,"Due to many additional features, <b>Freedom Fighters</b> is not automatically compatible with modded factions. In the base version, you can play as <b>FIA</b>, and choose between <b>USA</b> and <b>USSR</b> in the roles of allied and enemy factions. Multiple community-made factions are available with addition of extra compatibility mods, so make sure to search through the Arma Reforger Workshop or the relevant Discord community area to download them.",,
JWK-FM-General-NewGame-432ca4f4-Othersettings,Other settings,,
JWK-FM-General-NewGame-6fadf98b-playerfactionthe,"- <b>player faction</b>: the resistance faction. Irregular forces that will use a mix of their own and allied faction equipment.<br/>- <b>enemy faction</b>: the occupier faction. Regular and organized army, controlling all significant points on the map, with no shortage of assets.<br/>- <b>allied faction</b>: external power that supplies the resistance with political and military aid. Not directly present in the world, but the resistance may have access to some of its weapons and vehicles.<br/>- <b>civilian faction</b>: the local population, present in towns and non-military facilities. Depending on world events, specific characters may become supporters of the resistance or occupier forces and become involved.",,
JWK-FM-General-NewGame-72f97d2c-Setupconfigurati,"<b>Setup configuration cannot be changed</b> after the game has started. If you want to change the factions, you need to start a fresh playthrough. However, almost all difficulty settings can be changed, even when the game is running.",,
JWK-FM-General-NewGame-8b5610f6-Ifthereisnoadmin,"If there is no administrator present, a short timer will start, after which the game will start automatically with default settings. This prevents unattended servers from being stuck in the pre game screen. That behavior can be disabled in the server configuration file. The timer is stopped if an administrator logs in, so you can take your time to adjust the settings or wait for everyone to join.",,
JWK-FM-General-NewGame-Title,New Game,,
JWK-FM-General-NewGame-adb038dd-Youcanalsochange,"You can also change the displayed format of the ingame currency to your liking. This is a purely cosmetic feature and has no impact on the actual gameplay mechanics. By default, Arland and Everon scenarios use <b>tollars</b> (Ŧ), which is the canon currency on Everon, while Kolguyev scenario defaults to roubles.",,
JWK-FM-General-NewGame-caa7c4ea-Whetheryoulaunch,"Whether you launch via single player scenario, host a local server or set up a dedicated server, new <b>Freedom Fighters</b> game is started using an ingame UI. All three playing methods are supported. Moreover, you can freely switch between single player and a locally hosted server - your campaign progres will carry over seamlessly.",,
JWK-FM-General-NewGame-d064b2d0-Pregame,Pre game,,
JWK-FM-General-NewGame-f2ad1b21-Ifthereisnosaved,"If there is no saved data present, all joining players will see a <b>pre game</b> screen. At this point, an administrator is able to adjust the setup and difficulty settings. If you are connecting to a dedicated server, you need to log in with a chat command first. If you are running single player or hosting locally, you are automatically granted the administrator privileges.",,
JWK-FM-General-Savingandpersistence-118b3297-Character,Character,,
JWK-FM-General-Savingandpersistence-83e5f857-Vehiclesfoundint,"Vehicles found in the world are not persistent by default - regardless whether you capture them on the go, or hijack from a parking spot. To preserve a vehicle during save/load, you have to assign it to a parking spot in a garage or a helipad at a controlled operating base.",,
JWK-FM-General-Savingandpersistence-8f375cd3-FreedomFightersi,"<b>Freedom Fighters</b> is a semi-persistent scenario, which means that overall game progress is saved, but not the exact state of the world. Global save is performed periodically every 10 minutes to protect players from losing progress due to a fatal crash, and on every server exit (or closing the game in single player). In multiplayer, the player profile is saved on player disconnect.",,
JWK-FM-General-Savingandpersistence-Title,Saving and persistence,,
JWK-FM-General-Savingandpersistence-a038584a-Ifyourcharacterd,"If your character dies, their body will be persisted after you disconnect or exit, enabling you to return to it. But if you lose your next character, the previous body will be removed - only the last body is preserved.",,
JWK-FM-General-Savingandpersistence-a1d9ffc4-Thismeansthateve,"This means that every fight counts and you can effectively clear garrisons by war of attrition, small chunks at a time.",,
JWK-FM-General-Savingandpersistence-a4293751-Claimingownershi,Claiming ownership of a vehicle does not affect its persistence.,,
JWK-FM-General-Savingandpersistence-aed4709b-YourAIsubordinat,Your AI subordinates are saved with your character. In multiplayer they will join and leave the server with you.,,
JWK-FM-General-Savingandpersistence-b7bf73a2-Enemies,Enemies,,
JWK-FM-General-Savingandpersistence-c8db22d9-Vehiclesthatarep,Vehicles that are parked in camps and operating bases are persisted even if they are not assigned to a parking spot.,,
JWK-FM-General-Savingandpersistence-ce9c1cd5-Ifyouabandonaveh,"If you abandon a vehicle in the world and get sufficiently far away, it may be gone once you get back! Assigning the vehicle to a parking spot also prevents this. Additionally, you will be able to recover the vehicle from far away.",,
JWK-FM-General-Savingandpersistence-d103dd3c-Yourcharacterpos,"Your character position and inventory is fully saved. On return you will spawn at the same location you have exited, so make sure to exit the game while in a safe location!",,
JWK-FM-General-Savingandpersistence-e6b80bac-Vehicles,Vehicles,,
JWK-FM-General-Savingandpersistence-fe39bf22-Specificenemycha,"Specific enemy characters are not saved, so if you exit the game while surrounded by enemies, they will be gone after you load the game. Garrison compositions are however saved, which means if you attack a place of interest and eliminate a single enemy, that specific character will not automatically reappear. If you clear a location, but do not capture it, it will remain empty after the load - of course, unless enemy reinforcements arrive!",,
JWK-FM-General-Strategyguide-348b92c1-Gettingsuppliesb,"Getting supplies becomes much easier once you've captured your first factory. It will passively produce new supplies each day, which you can transport to your FOBs, hideouts, or donate to towns. Factories continue production even when you skip time by resting in beds, so you can use this mechanism at moments of downtime. You should now focus on capturing additional factories to maximize your <b>production throughput</b>.",,
JWK-FM-General-Strategyguide-3a3c2e16-Yournextpriority,"Your next priority should be to <b>establish a network of hideouts</b> across all towns. To do this, you need to increase support in each of them. Don't focus on a single location - instead, spread your efforts: hang posters in town A, donate supplies in town B, move on to town C, and eventually return to A. This rotation helps avoid diminishing returns and keeps the threat level moderately low.",,
JWK-FM-General-Strategyguide-3dc81144-Onceyoucleartheg,"Once you clear the garrison and enter the factory area, a <b>battle will begin</b>. Thanks to your hideout network, friendly fighters should arrive to help even the odds. If your character is killed, you'll be able to quickly respawn at your FOB, grab a vehicle, and return to the battle before it's lost.",,
JWK-FM-General-Strategyguide-454dfb36-Nowyourereadytoc,"Now you're ready to capture an <b>enemy factory</b>. Choose one near your FOB, or establish a new one. Make sure it's stocked with weapons, ammunition, and medical items - either bring them manually or provide enough supplies so they can be purchased from the armory, medical tent, or other facilities. Set up a garage and park at least two vehicles. Whether you're playing solo or with others, you can also build a living area to command a squad of recruits during the assault.",,
JWK-FM-General-Strategyguide-5f38e30a-Onceyouhaveastea,"Once you have a steady surplus of supplies, you can start taking over towns and military bases using the same process - ultimately leading to the <b>liberation of all territories and victory in the campaign</b>.",,
JWK-FM-General-Strategyguide-5f8f9bac-Everynewhideoutw,"Every new hideout will make your life a little easier - reducing travel time to resupply, pick up posters, or report mission progress. Once your hideouts are established, stock them with supplies, including your <b>HQ</b>. Resupplied hideouts enable the resistance to dispatch fighters who can assist in capturing key points of interest.",,
JWK-FM-General-Strategyguide-78fb8bcf-Startbycompletin,"Start by completing the <b>introductory storyline</b>. By the end of it, you should have established your first <b>FOB</b> and learned how to earn money by collecting enemy <b>dogtags</b>, as well as how to raise support by hanging <b>propaganda posters</b>.",,
JWK-FM-General-Strategyguide-Title,Strategy guide,,
JWK-FM-General-Strategyguide-b3e38570-Placingpostersan,"Placing posters and talking to people may not be enough in towns with larger populations. The most effective method is <b>donating supplies</b>, which at this point can be obtained in one of the following ways:<br/>- <b>Purchase with money at ports</b>: Earn money by turning in dogtags, completing resistance missions, or selling loot at shops.<br/>- <b>Raid an enemy factory</b>: Go in guns blazing, or infiltrate undercover and casually drive off with the cargo.<br/>- <b>Ambush enemy transports</b>: Enemy trucks may carry varying amounts of supplies.<br/>- <b>Loot enemy checkpoints</b>: Occasionally, you may find a pile of supplies nearby.",,
JWK-FM-General-Strategyguide-c064ff76-Proceedtothefact,"Proceed to the factory and clear the <b>enemy garrison</b>. You'll likely face heavy resistance, but you can tackle it in stages. If you're playing solo, consider using a sniper rifle to harass enemies from a distance, frequently changing position to avoid detection. In other situations, a frontal assault with AI squadmates may be effective.",,
JWK-FM-General-Strategyguide-f56ffbd1-Inthemeantimecon,"In the meantime, consider capturing <b>radio and radar sites</b>, which will help you consolidate your control over territory. This makes traveling safer, as enemy patrols will only appear in zones still under their control.",,
JWK-FM-General-Tips-0b3690c5-Makesuretohaveat,"Make sure to have at least one dose of epinephrine on you. It can be self-administered if you get downed, which is crucial for lone wolves.",,
JWK-FM-General-Tips-1b2502ae-Bloodiedclothesw,"Bloodied clothes will make you wanted on sight. If your clothes are bloodied, you will see a hint on the inventory screen. Go swimming in the ocean or a lake to clean the clothes.",,
JWK-FM-General-Tips-1b495196-Donotgetintoafig,"Do not get into a fight if you don't have a way out. Situation usually escalates very quickly and you may find yourself surrounded and overwhelmed, even if you had the upper hand at the start. Have an exit strategy and don't be afraid to break contact. You can always come later and try again.",,
JWK-FM-General-Tips-45321b3b-Youcanusepublicp,"You can use public payphones to report resistance activity and lure the enemy into an ambush, or provoke a battle.",,
JWK-FM-General-Tips-59cd876f-Youcanalsosteals,"You can also steal supplies from an enemy factory without capturing it. Likewise, create distraction, drive up in an enemy cargo truck while disguised, load supplies and get away quickly!",,
JWK-FM-General-Tips-60485557-Youcanpurchaseci,"You can purchase civilian clothes in a clothing shop. It may be useful to store a few sets at your military base, so you can disguise as a civilian after respawning.",,
JWK-FM-General-Tips-6b41d07f-Youcancaptureene,"You can capture enemy APCs or helicopters in the early game. Scout the location and ask for distraction at the other side of the enemy compound. Disguise yourself in enemy uniform to enter the illegal zone freely and hijack the vehicle, while everyone's attention is elsewhere.",,
JWK-FM-General-Tips-80dcc867-Beforetryingtoca,"Before trying to capture an enemy base, build a FOB nearby and stock it with resources to respawn there. Place a garage and assign a vehicle that will act as a taxi. Even if your entire squad dies and the vehicle stays left on the battlefield, you will be able to recover it remotely from the FOB. In this manner you will be able to deliver reinforcements sustainably.",,
JWK-FM-General-Tips-8e58f6eb-Enemygarrisonswi,"Enemy garrisons will usually outnumber you or your group, but don't worry - every attack and every eliminated enemy counts, and eventually you will win the war of attrition. Apply hit & run tactics - approach a base, snipe a few enemies, send a rocket and vanish in the woods. Rinse and repeat.",,
JWK-FM-General-Tips-Title,Tips,,
JWK-FM-General-Tips-a823a09b-Makesuretostocky,Make sure to stock your hideouts fully before attempting to capture a town or a military base. The supplies will allow friendlies to take part in the battle.,,
JWK-FM-General-Tips-aaabcabe-Youcanuseanyhand,You can use any handheld radio to contact the resistance officer if you are within signal range of a controlled radio site. Remember to tune your radio to correct frequency according to the timetable.,,
JWK-FM-General-Tips-b9730e1c-TheHQwillbeshutd,"The HQ will be shut down and moved to a new location if you endanger it. Any stocked supplies will be lost in the process, wasting the resistance efforts.",,
JWK-FM-General-Tips-cc4f81bd-Passingambulance,"Passing ambulances may contain significant amounts of medical items, including epinephrine, in their trunks. Medics may also carry epinephrine.",,
JWK-FM-General-Title,General,,
JWK-FM-General-Victoryanddefeat-0f065f33-Defeat,Defeat,,
JWK-FM-General-Victoryanddefeat-11c81ac7-Campaignprogress,Campaign progress,,
JWK-FM-General-Victoryanddefeat-41b5a275-Atanypointyoucan,"At any point, you can check your campaign progress using the radial menu accessed by and selecting the appropriate option. Note that <b>total progress</b> includes optional objectives, not required for <b>victory</b>, therefore it is possible to finish the campaign without reaching 100% completion.",,
JWK-FM-General-Victoryanddefeat-5000fbeb-Theresistancewil,"The resistance will be defeated if no <b>freedom fighter</b> is alive, and there is no <b>respawn location</b> available in the world. This can be caused by lack of resources, lack of population support, being overrun with enemies, or other reasons depending on the <b>respawn location</b> type. Look up <b>Respawn</b> in FM to learn more.",,
JWK-FM-General-Victoryanddefeat-Title,Victory and defeat,,
JWK-FM-General-Victoryanddefeat-bb133a4f-FreedomFightersi,"<b>Freedom Fighters</b> is an open-world campaign, but not open-ended. There are specific conditions in which your uprising will either achieve <b>victory</b> or <b>defeat</b>. When this happens, the campaign will end and you will have to start all over.",,
JWK-FM-General-Victoryanddefeat-bee9d4fe-Inordertoreachvi,"In order to reach <b>victory</b>, the resistance has to have control over or neutralize all of the following points of interest:<br/>- towns<br/>- factories<br/>- military bases<br/>- radio towers<br/>- radar sites",,
JWK-FM-General-Victoryanddefeat-bf0639c6-Victory,Victory,,
JWK-FM-General-Victoryanddefeat-c83fe4b4-Onlywithallofthe,Only with all of the above will the resistance have enough political and military power to upkeep its rule.,,
JWK-FM-HeartsandMinds-Civiliansoverview-11c81ac7-Campaignprogress,Campaign progress,,
JWK-FM-HeartsandMinds-Civiliansoverview-380467e6-Income,Income,,
JWK-FM-HeartsandMinds-Civiliansoverview-71c0ff2d-Populationsuppor,"Population support is required indirectly to finish the campaign. Without it, you won't be able to control all required points of interest. It counts towards the progress, so you need to convince every single person to reach 100%.",,
JWK-FM-HeartsandMinds-Civiliansoverview-8e1e039a-Eachsupporterwil,Each supporter will donate a small amount of money to the resistance every day. The funds are then split equally and sent to all present <b>freedom fighters</b> automatically.,,
JWK-FM-HeartsandMinds-Civiliansoverview-91837422-supportingfriend,"- <b>supporting</b>: friendly to the resistance members and disapproving of the occupier.<br/>- <b>neutral</b>: no stance, the initial state for most of the population. They don't really care about the revolution or the occupier forces. They can be turned into supporters, given enough reasons to.<br/>- <b>hostile</b>: actively against the revolution and supporting the occupier. They cannot be turned into supporters, but given enough time they may become neutral.",,
JWK-FM-HeartsandMinds-Civiliansoverview-Title,Civilians overview,,
JWK-FM-HeartsandMinds-Civiliansoverview-c6da0b02-Youcaninspectgen,"You can inspect general population stats in the campaign progress menu. To check local trends, inspect selected town on the map. Population composition is represented by a progress bar, with color-coded segments proportional to the popularity of relevant stance.",,
JWK-FM-HeartsandMinds-Civiliansoverview-d292ef24-Civilianpopulati,"Civilian population is a key element in your revolution. After all, it is their freedom you are fighting for. Just incidentally they also happen to fuel your efforts with money and manpower. Each civilian may have one of the following stances regarding revolution:",,
JWK-FM-HeartsandMinds-Civiliansoverview-e647b2d6-Populationmoodsw,"Population moods will change in reaction to your actions. While civilians are rather tolerant to acts of war and inconveniences caused by combat against the occupier, any wrongdoings towards them will turn them hostile very quickly. Keep in mind your supporters may become hostile just as well, negating your hard-earned friendliness.",,
JWK-FM-HeartsandMinds-Donatingsupplies-1efd4334-Donatingsupplies,"Donating supplies is a rather expensive method, unless you have a surplus of your own production. Supplies are also vital to your own operations, so giving them away in the early stages of the revolution may not be the best choice.",,
JWK-FM-HeartsandMinds-Donatingsupplies-3db1e383-Thereisnolimitas,"There is no limit as to how many supplies and how often you can donate to a specific town, but many donations over a short period of time will stop having an effect on the support. It's best to diversify and distribute the supplies evenly to many towns in a concurrent manner. Donation effects wear out after some time, so you can come back and donate another shipment later.",,
